query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
"scandinavian furniture style,",https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,0,8,0.0,20.9,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
"scandinavian furniture style,",https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,4,0.0,3.8,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture styles,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,0,3,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian furniture table,https://moderncre8ve.com/collections/all-products,DESKTOP,usa,0,1,0.0,8.0,2026-03-01,2026-03-08,/collections/all-products
scandinavian furniture table,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,1,0.0,7.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,DESKTOP,gbr,0,2,0.0,31.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furniture table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,DESKTOP,usa,0,1,0.0,4.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furniture table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,MOBILE,usa,0,1,0.0,8.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furniture table,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,DESKTOP,usa,0,1,0.0,4.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
scandinavian furniture table,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,MOBILE,usa,0,1,0.0,8.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
scandinavian furniture tables,https://moderncre8ve.com/collections/all-products,DESKTOP,usa,0,2,0.0,10.0,2026-03-01,2026-03-08,/collections/all-products
scandinavian furniture tables,https://moderncre8ve.com/collections/all-products,MOBILE,usa,0,1,0.0,9.0,2026-03-01,2026-03-08,/collections/all-products
scandinavian furniture tables,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,DESKTOP,usa,0,1,0.0,20.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furniture tables,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,MOBILE,usa,0,1,0.0,11.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furniture truckee ca,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,2,0.0,39.5,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture uk,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,1,0.0,55.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture usa,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,fra,0,1,0.0,72.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
